Class Name, Initialization Kind, Reason for Initialization
com.oracle.svm.core.genscavenge.HeapImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.HeapImpl$DumpChunkInformation, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.HeapImpl$DumpHeapSettingsAndStatistics, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.HeapParameters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.ImageHeapInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.JfrGCEvents, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.ObjectHeaderImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.OldGeneration, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.PinnedObjectImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.PinnedObjectImpl$PinnedObjectSupportImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.ReciprocalLeastSquareFit, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.ReferenceObjectProcessing, BUILD_TIME, Native Image classes are always initialized at build time
